count,hate_speech,offensive_language,neither,class,tweet,label,clean_tweet
3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. & as a man you should always take the trash out...,0,as a woman you shouldn t complain about cleaning up your house as a man you should always take the trash out
3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0,boy dats cold tyga dwn bad for cuffin dat hoe in the st place
3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,0,dawg you ever fuck a bitch and she start to cry you be confused as shit
3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,0,she look like a tranny
6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,0,the shit you hear about me might be true or it might be faker than the bitch who told it to ya
3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! 😂😂😂""",0,the shit just blows me claim you so faithful and down for somebody but still fucking with hoes
3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0,i can not just sit up and hate on another bitch i got too much shit going on
3,0,3,0,1,!!!!“@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!”,0,cause i m tired of you big bitches coming for us skinny girls
3,0,3,0,1,""" & you might not get ya bitch back & thats that """,0,you might not get ya bitch back thats that
3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",0,hobbies include fighting mariam bitch
3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
3,0,3,0,1,""" Murda Gang bitch its Gang Land """,0,murda gang bitch its gang land
3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",0,so hoes that smoke are losers yea go on ig
3,0,3,0,1,""" bad bitches is the only thing that i like """,0,bad bitches is the only thing that i like
